HH Size,HH Income,Mean HH Age,Rent,Latest Subsidy,First Subsidy,Late Fees?,Military,Disability,PrimaryIncome,Negative,Validation Stratified by Negative
2,5244,18.11,763,686,620,Y,NA,NA,G,0,Training
1,12335,28.51,450,0,0,Y,NA,NA,NA,0,Training
2,19921,24.77,694,0,0,Y,NA,NA,W,0,Training
1,22475,35.87,618,0,0,Y,No,No,F,0,Training
1,26166,43.73,692,0,0,Y,No,NA,W,0,Training
1,1200,25.22,658,435,593,Y,NA,NA,N,0,Training
1,16087,27.12,620,228,228,N,NA,NA,W,0,Training
5,34320,11.82,867,0,0,Y,No,NA,W,0,Training
1,19887,27.82,422,0,0,N,NA,NA,W,0,Training
2,17264,41.54,817,88,404,Y,No,NA,SS,0,Training
1,9060,56.66,434,0,0,N,NA,NA,SI,0,Training
1,28800,58.2,667,0,0,N,NA,NA,W,0,Training
2,18456,,769,0,0,N,NA,NA,NA,0,Training
2,42000,30.72,799,0,0,N,NA,NA,NA,0,Training
3,21142,31.82,1000,0,0,N,NA,NA,NA,0,Training
1,0,70.54,850,640,780,N,NA,NA,NA,0,Training
2,32000,35.37,980,0,0,N,NA,NA,NA,0,Training
1,23376,,974,0,0,N,No,NA,NA,0,Training
3,43008,18.04,832,0,0,N,NA,NA,W,0,Training
1,26801,31.15,440,0,0,N,NA,NA,F,0,Training
1,22724,34.06,450,0,0,Y,No,NA,W,0,Training
1,2436,57.19,441,441,441,N,NA,NA,G,0,Training
1,9483,55.94,455,0,0,Y,NA,NA,SS,0,Training
1,8652,33.53,628,422,422,Y,NA,NA,SI,0,Training
1,19646,26.22,735,902,0,Y,NA,NA,W,0,Training
1,24000,31.29,995,0,0,Y,NA,NA,N,0,Training
1,9060,84.25,870,517,717,Y,No,NA,NA,0,Training
7,16909,18.98,1295,1116,941,Y,NA,NA,NA,0,Training
1,10910,78.14,595,413,0,N,No,No,SS,0,Training
1,2364,49.34,420,225,363,Y,NA,NA,G,0,Training
1,18456,,769,0,0,N,NA,NA,NA,0,Training
1,16536,,689,484,484,Y,NA,NA,NA,0,Training
2,24177,31.92,1123,0,0,N,No,No,NA,0,Training
1,1323,59.72,628,567,538,Y,Yes,NA,G,0,Training
1,9059,59.45,417,0,0,N,NA,NA,SS,0,Training
1,2436,32.31,772,645,700,Y,No,Yes,G,0,Training
2,22632,31.51,943,943,943,N,NA,NA,NA,0,Training
2,15599,27.21,666,0,0,N,No,NA,W,0,Training
1,17609,34.59,434,0,0,Y,NA,NA,W,0,Training
1,23712,30.24,448,0,0,Y,NA,NA,NA,0,Training
2,21952,36.41,618,0,0,N,NA,NA,W,0,Training
1,19080,59.52,818,335,291,Y,No,NA,NA,0,Training
1,7476,44.61,978,796,762,Y,NA,NA,NA,0,Training
1,1068,52.18,638,4,549,Y,NA,NA,G,0,Training
1,20514,62.6,634,0,0,N,NA,NA,PE,0,Training
2,9592,23.56,735,306,0,Y,NA,NA,W,0,Training
1,15816,,659,0,0,N,NA,NA,NA,0,Training
1,10152,,423,0,0,N,NA,NA,NA,0,Training
1,13666,62.07,665,0,0,N,NA,NA,SS,0,Training
1,17784,,741,538.8,538.8,N,NA,NA,NA,0,Training
1,15206,43.55,546,0,0,Y,NA,NA,W,0,Training
1,8895,36.75,616,399,394,N,NA,NA,SI,0,Training
1,65000,34.14,1039,0,0,N,NA,NA,NA,0,Training
2,14400,,600,0,0,N,NA,NA,NA,0,Training
2,29928,25.39,729,0,0,N,NA,NA,W,0,Training
1,27856,56.03,474,0,0,Y,No,No,W,0,Training
1,77623,30.78,1030,0,0,N,NA,NA,NA,0,Training
1,27976,64.19,494,0,0,N,NA,NA,U,0,Training
1,25688,29.06,494,0,0,Y,NA,NA,W,0,Training
1,55920,51.73,1110,0,0,N,NA,NA,NA,0,Training
2,40000,30.47,1235,0,0,N,NA,NA,NA,0,Training
1,2160,67.7,595,403,0,N,No,No,SS,0,Training
1,612,56.93,850,850,779,Y,Yes,Yes,N,0,Training
1,48000,31.77,870,0,0,N,NA,NA,NA,0,Training
1,19176,,799,0,0,Y,NA,NA,NA,0,Training
